,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
4590,film,13.7,2.9614200131040664e-05,0.007222999999999999,0.00014491,1.0878991321167104e-13,1.5576483190138202e-08,1.0878991321167104e-13,0.5002942015849206,935,500
4591,sphere,13.7,9.737829049550442e-05,0.005502,0.00265009,3.867898310032865e-12,1.1916100468650446e-07,3.867898310032865e-12,0.9,902,500
4592,sphere,13.7,4.816003886222686e-05,0.00158,0.00463752,4.678957445939547e-13,2.914630608578706e-08,4.678957445939547e-13,0.9,902,500
4593,fiber,13.7,4.648320607395659e-05,4.1e-05,0.00220993,4.2070418670157397e-13,5.576693681476092e-08,4.2070418670157397e-13,0.6019001647713398,994,500
4594,fiber,13.7,2.010527533841884e-05,9.4e-05,0.00100861,3.4042283529028657e-14,7.789906369991875e-09,3.4042283529028657e-14,0.4957787698207545,905,500
4595,film,13.7,0.0002185012188274659,0.009641,0.00793438,4.3696857045976123e-11,2.098322527289096e-06,4.3696857045976123e-11,0.20217634954052538,862,500
4596,film,13.7,3.787633662695886e-05,0.009434999999999999,9.468000000000001e-05,2.27610615085845e-13,2.126422642764755e-08,2.27610615085845e-13,0.5994889928490903,976,500
4597,film,13.7,0.000148783556353219,0.006816999999999999,0.0054899,1.3796007298128291e-11,9.806081342762427e-07,1.3796007298128291e-11,0.20058998481412854,860,500
4598,fiber,13.7,1.22348782222271e-05,5.6999999999999996e-05,0.0038164600000000003,7.671628473847245e-15,2.882513901755929e-09,7.671628473847245e-15,0.4972184096941176,859,500
4599,fiber,13.7,0.0004822201962717383,0.0028899999999999998,0.0015881,4.697045808715207e-10,4.780264202355048e-06,4.697045808715207e-10,0.3985035493167866,853,500
4600,film,13.7,3.4699973096163694e-05,0.000968,0.00055773,1.7501530271679943e-13,3.565072789404097e-08,1.7501530271679943e-13,0.3001129535131431,907,500
4601,fiber,13.7,5.741433662532968e-05,0.000676,0.00504773,7.927744831084417e-13,8.675505449356392e-08,7.927744831084417e-13,0.19671934703404068,853,500
4602,fiber,13.7,7.474526837606926e-05,8.499999999999999e-05,0.00207098,1.7492010366318677e-12,1.2554026884535716e-07,1.7492010366318677e-12,0.7006865685790372,903,500
4603,sphere,13.7,6.491677074246662e-05,0.012714999999999999,0.00437749,1.1459332817688347e-12,5.295703723379446e-08,1.1459332817688347e-12,0.9,894,500
4604,fiber,13.7,0.00017537001095286212,0.001052,0.00845855,2.2591995694798312e-11,6.324010411871146e-07,2.2591995694798312e-11,0.39815303584324285,926,500
4605,fiber,13.7,0.0001507822280275548,0.0005499999999999999,0.00952866,1.4359492078190364e-11,4.194655006608321e-07,1.4359492078190364e-11,0.5962441698561058,874,500
4606,fiber,13.7,0.000174821058469338,0.001406,0.00481508,2.2380503124317854e-11,6.925003491189406e-07,2.2380503124317854e-11,0.29772119019222226,923,500
4607,fiber,13.7,7.544762164779589e-05,0.0008839999999999999,0.00264284,1.7989755928295097e-12,1.4950574780894298e-07,1.7989755928295097e-12,0.19780416850466248,911,500
4608,fiber,13.7,0.00015555128334895617,0.000565,0.00746405,1.576556011602706e-11,4.4618216748046855e-07,1.576556011602706e-11,0.5979162183360509,990,500
4609,fiber,13.7,3.250380244313969e-05,0.000194,0.00576604,1.4384379035230239e-13,2.1692124595166708e-08,1.4384379035230239e-13,0.4000389869122526,905,500
4610,film,13.7,0.0002792344478071771,0.005738,0.00072943,9.120015816680728e-11,1.1643709478602157e-06,9.120015816680728e-11,0.5950336049090283,882,500
4611,sphere,13.7,8.686507621779812e-06,0.001794,0.00873978,2.745517551820887e-15,9.482007055184098e-10,2.745517551820887e-15,0.9,997,500
4612,sphere,13.7,4.325581002730299e-05,0.004987,0.00307222,3.390173751036684e-13,2.351249750424379e-08,3.390173751036684e-13,0.9,887,500
4613,film,13.7,8.842453819777251e-05,0.005477,0.0002175,2.89605636671927e-12,1.1559927199075798e-07,2.89605636671927e-12,0.601015078491241,917,500
4614,film,13.7,0.00024578835724556444,0.009646,0.00211594,6.219744290377447e-11,1.3447950545723729e-06,6.219744290377447e-11,0.3991732010347012,941,500
4615,film,13.7,3.6752429118973594e-05,0.001483,0.00058117,2.079441731104983e-13,3.968556026460349e-08,2.079441731104983e-13,0.30243667005206437,972,500
4616,film,13.7,7.052957392670934e-05,0.005497,0.00017834,1.4696109867078685e-12,7.387024701961876e-08,1.4696109867078685e-12,0.5983672773164758,989,500
4617,film,13.7,3.450695438073542e-05,0.0036379999999999997,0.00129386,1.7211094866732533e-13,5.316569577852975e-08,1.7211094866732533e-13,0.1990107900221973,895,500
4618,sphere,13.7,0.00024244683621765312,0.012301,0.00506588,5.969502974549515e-11,7.386571506988625e-07,5.969502974549515e-11,0.9,854,500
4619,sphere,13.7,1.6529306878813164e-05,0.0028079999999999997,0.0065083,1.8917011921082325e-14,3.4333584692525114e-09,1.8917011921082325e-14,0.9,968,500
4620,fiber,13.7,1.5937014073652495e-05,9e-06,0.00662618,1.695545613995589e-14,8.92053874071088e-09,1.695545613995589e-14,0.3975851172827954,943,500
4621,fiber,13.7,5.0027960103543076e-05,0.00022899999999999998,0.0011021100000000001,5.244776594476419e-13,4.80107476944931e-08,5.244776594476419e-13,0.5043701312703358,963,500
